date,payee,expenditure_code,description,amount,committee_name,position
,"MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",,"MVPAF, FPPC ID #1384591, SERVES AS THE INTERMEDIARY.",250000,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",,"MVPAF, FPPC ID #1384591, SERVES AS THE INTERMEDIARY.",250000,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,CALIFORNIA CALLS ACTION FUND,"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",TECHNICAL ASSISTANCE FEE,115800,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,CONTRIBUTION,,115000,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,"MVPAF, FPPC ID #1384591, SERVES AS THE INTERMEDIARY.",50000,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,CALIFORNIA CALLS ACTION FUND,"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)",TECHNICAL ASSISTANCE FEE,18900,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,CALIFORNIA CALLS ACTION FUND,CAMPAIGN WORKERS SALARIES,EMPLOYEE LEASING FEE,16027,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,4439,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,PROGRESSIVE CONTACT TECHNOLOGIES,OFFICE EXPENSES,,3380,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"RSO ADVISORS, LLP","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1550,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1474,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1225,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1210,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,1176,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,818,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,742,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,689,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",,"PRO PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",611,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,573,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,567,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,492,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,444,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",,"PRO PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",413,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,367,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,319,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
